"","param_vary","i_param_var","replicate","gamma","stairs2","beta","SR"
"132",2,2,5,0.0810896335316618,0.570138888888889,-0.366875,17
"133",2,3,5,1.06929204087247,0.700649350649351,0.2691015625,23
"134",2,4,5,-0.194648255860412,0.657241970890788,0.380986328125,133
"135",2,5,5,2.59382730755773,0.626062732589049,-0.639962158203125,51
"136",3,1,5,-0.890396498573963,0.648214285714286,-0.75552734375,13
"137",3,2,5,-1.36929457416703,0.644821773487187,0.77552734375,71
"138",3,3,5,NA,1,NA,2
"139",3,4,5,-1.34061954878109,0.617494905390208,0.133662109375,64
"140",3,5,5,-3.4009782091311,0.637503820205058,0.110107421875,223
"141",4,1,5,-12.6966311108898,0.651014125362891,0.0574731738360596,2045
"142",4,2,5,-1.25190881569338,0.656623732227115,0.4251513671875,112
"143",4,3,5,-1.41030283588799,0.634821815217932,-0.349208984375,117
"144",4,4,5,NA,1,NA,NA
"145",4,5,5,NA,NA,NA,NA
"146",5,1,5,-1.23569595156365,0.653322450864002,0.056540314820322,39
"147",5,2,5,0.0107947138763964,0.65679012345679,-0.64953125,10
"148",5,3,5,-2.63243401789533,0.630760650181426,-0.212748917175786,161
"149",5,4,5,-0.338566616186417,0.671130952380952,1.7059375,9
"150",5,5,5,NA,1,NA,2
"151",1,1,6,NA,1,NA,2
"152",1,2,6,NA,1,NA,2
"153",1,3,6,-0.0227324062869692,0.660977038762365,0.1984375,37
"154",1,4,6,-5.40571782373398,0.659736624404576,0.274622192382812,802
"155",1,5,6,NA,NA,NA,NA
"156",2,1,6,NA,1,NA,2
"157",2,2,6,-1.13644590201696,0.719972091400663,1.48216796875,29
"158",2,3,6,-1.05097807938341,0.689587896199913,1.3997265625,84
"159",2,4,6,0.614990681928258,0.658293492222064,0.0718310546875,43
"160",2,5,6,1.12027373149025,0.657797133386566,-0.0845982933044434,350
"161",3,1,6,-1.73136786646562,0.606578606578607,-0.44931640625,61
"162",3,2,6,0.00587149512601201,0.639393939393939,-0.137216796875,16
"163",3,3,6,-1.26953070760254,0.62847104358985,0.66953125,43
"164",3,4,6,-0.937351107510382,0.667637427128887,0.310322265625,85
"165",3,5,6,0.730872974838716,0.694056776556776,1.7059375,37
"166",4,1,6,-2.5675176840252,0.647308611194521,0.116732177734375,173
"167",4,2,6,-0.795661959498685,0.678508151626664,4.673828125,69
"168",4,3,6,-1.50364449986091,0.606598194833489,-0.6730859375,22
"169",4,4,6,0.113287555279666,0.680555555555556,9.99967852144474,5
"170",4,5,6,NA,NA,NA,NA
"171",5,1,6,-0.942361173715077,0.670562145150507,0.433984375,91
"172",5,2,6,-2.60313292272963,0.64384232225106,0.274254150390625,196
"173",5,3,6,0.853832966736548,0.713244047619048,4.3205078125,17
"174",5,4,6,-0.55879864834047,0.719747899159664,1.564609375,18
"175",5,5,6,NA,1,NA,2
"176",1,1,7,NA,1,NA,2
"177",1,2,7,NA,1,NA,2
"178",1,3,7,-2.51683554251334,0.642256899592426,0.263212890625,81
"179",1,4,7,0.200629560670018,0.683080808080808,4.108515625,16
"180",1,5,7,NA,NA,NA,NA
"181",2,1,7,-1.22709708272497,1,9.99967852144474,4
"182",2,2,7,-0.973196604705801,0.718501984126984,8.39546875,25
"183",2,3,7,-1.12296196808399,0.611141610914338,-0.44195556640625,56
"184",2,4,7,-0.873540753418369,0.62300102394496,-0.5641455078125,75
"185",2,5,7,1.63207181766264,0.654652350796445,0.339765625,260
"186",3,1,7,-1.58898435130873,0.75,2.27125,3
"187",3,2,7,-0.533339563957357,0.75,2.27125,3
"188",3,3,7,-0.828690790970836,0.671130952380952,1.7294921875,9
"189",3,4,7,-0.813380878342987,0.611111111111111,-1.99999640168177,4
"190",3,5,7,-2.03996534144683,0.658030689994358,0.0335546875,35
"191",4,1,7,-2.51953246994135,0.622123150391149,-0.34184814453125,253
"192",4,2,7,-4.71324793689696,0.632454327983953,-0.23732421875,245
"193",4,3,7,-0.488423134618842,0.777777777777778,-0.4375390625,7
"194",4,4,7,NA,1,NA,2
"195",4,5,7,NA,NA,NA,NA
"196",5,1,7,1.6093493671845,0.775,0.999296875,7
"197",5,2,7,-0.383933632443144,0.680555555555556,-0.490537109375,16
"198",5,3,7,-1.33101908237582,0.657970992455004,0.7549169921875,87
"199",5,4,7,0.849273476413939,0.59047619047619,0.5988671875,15
"200",5,5,7,0.179282093757262,0.75,2.27125,3
"201",1,1,8,NA,1,NA,2
"202",1,2,8,NA,1,NA,2
"203",1,3,8,0.942323425341664,0.666666666666667,6.2284375,6
"204",1,4,8,-3.08243985766356,0.637795809182787,0.413305015563965,220
"205",1,5,8,NA,NA,NA,NA
"206",2,1,8,-0.236396943151608,0.75,2.27125,3
"207",2,2,8,-0.599279018591024,0.672789115646259,-0.761416015625,8
"208",2,3,8,-1.69689118204157,0.642162150714782,0.4575390625,34
"209",2,4,8,-0.712863239005869,0.632839186830694,0.21021484375,115
"210",2,5,8,1.24204744131766,0.622148116851241,-0.237893278929678,119
"211",3,1,8,-0.655017436676975,0.647051282051282,1.570498046875,16
"212",3,2,8,-0.30916470388922,0.625711530331829,-0.3285986328125,109
"213",3,3,8,-1.87592553981748,0.607006706574556,-0.266767578125,151
"214",3,4,8,0.270422808709854,0.588141025641026,0.433984375,27
"215",3,5,8,-1.61253263295686,0.66937032593097,0.245546875,92
"216",4,1,8,-3.78078492485873,0.668007795981666,0.657920930054697,139
"217",4,2,8,-0.762933037281136,0.679480436098083,2.19650348120314,75
"218",4,3,8,-1.62763265091426,0.570618708952879,-0.73183039120508,110
"219",4,4,8,0.805863588334351,0.75,2.27125,7
"220",4,5,8,NA,NA,NA,NA
"221",5,1,8,-1.46836045448663,0.769461697722567,9.99967852144474,24
"222",5,2,8,-0.0941950621089027,0.680942702284166,0.339765625,42
"223",5,3,8,-3.25552755915741,0.685766387357912,0.528203125,65
"224",5,4,8,-0.722173013491121,0.596666666666667,-1.17951171875,11
"225",5,5,8,-0.420844589292243,0.588888888888889,-1.56445103112378,7
"226",1,1,9,NA,1,NA,2
"227",1,2,9,NA,1,NA,2
"228",1,3,9,-0.294734826891501,0.64147021070098,-0.360250244140625,40
"229",1,4,9,-9.64214663255322,0.641200774806757,0.0158941661487274,1560
"230",1,5,9,NA,NA,NA,NA
"231",2,1,9,-0.437229472537905,0.611111111111111,-1.99999640168177,4
"232",2,2,9,-2.47493918128063,0.637925071748601,0.687197265625,38
"233",2,3,9,0.293161928601166,0.66786358482787,0.0335546875,29
"234",2,4,9,-0.981790530152598,0.659689484906145,0.274990234375,140
"235",2,5,9,-0.0646579325928494,0.620516757711255,-0.14163330078125,165
"236",3,1,9,-0.545571706365392,0.633870619393283,-0.667197265625,48
"237",3,2,9,0.0807728758064527,0.61205881550382,-0.63775390625,52
"238",3,3,9,-0.286729179133866,0.603703703703704,-0.372763671875,10
"239",3,4,9,-1.77424099991842,0.64747578400013,-0.19021484375,239
"240",3,5,9,-1.19405514162983,0.611111111111111,-1.99999640168177,4
"241",4,1,9,-9.89472289866022,0.648213536577196,0.096778908470459,1300
"242",4,2,9,-2.37907071895367,0.604560447093426,-0.5317578125,82
"243",4,3,9,0.87358847460944,0.60374149659864,-1.244287109375,8
"244",4,4,9,-1.61378700779171,0.75,2.27125,2
"245",4,5,9,NA,NA,NA,NA
"246",5,1,9,-1.18188891891675,0.667518939393939,3.30765625,21
"247",5,2,9,-1.36481961557317,0.641947325805322,0.48109375,65
"248",5,3,9,-2.36000527292917,0.631128532631216,0.29265625,116
"249",5,4,9,0.295939808474547,0.666666666666667,6.04,6
"250",5,5,9,-0.672610256409838,0.75,2.27125,3
"251",1,1,10,NA,1,NA,2
"252",1,2,10,NA,1,NA,2
"253",1,3,10,-0.000314371538583,0.648148148148148,9.99967852144474,10
"254",1,4,10,-0.58142279967396,0.713924658286588,0.380986328125,70
"255",1,5,10,NA,NA,NA,NA
"256",2,1,10,-1.08607941533091,0.75,2.27125,3
"257",2,2,10,0.823764431945903,1,9.99967852144474,4
"258",2,3,10,-0.313470066699356,0.667544980272253,0.7784716796875,56
"259",2,4,10,0.548336080542235,0.663846842777643,0.06888671875,129
"260",2,5,10,-0.0891700409131106,0.587677527151211,-0.14310546875,22
"261",3,1,10,-0.989581278937072,0.745299145299145,9.99967852144474,14
"262",3,2,10,-1.64598365761708,0.655715493914753,0.13955078125,165
"263",3,3,10,-0.942175903110615,0.525170068027211,-1.72491733971753,8
"264",3,4,10,-0.308365164097622,0.646657061290038,0.2897119140625,76
"265",3,5,10,0.00899734707923266,0.580002919272114,-0.75552734375,48
"266",4,1,10,-5.68203922813849,0.663928116521287,0.221980686187744,332
"267",4,2,10,-0.681909316303971,0.66591212024383,-0.219658203125,59
"268",4,3,10,0.340224914028789,0.761111111111111,9.99967852144474,7
"269",4,4,10,NA,1,NA,3
"270",4,5,10,NA,NA,NA,NA
"271",5,1,10,-0.997818207444263,0.661715256556447,0.55617431640625,107
"272",5,2,10,-2.83584809163067,0.668875519217625,-0.113662109375,51
"273",5,3,10,-0.460241616849769,0.752380952380952,9.99967852144474,8
"274",5,4,10,-0.13368987436805,0.696428571428572,9.99967852144474,13
"275",5,5,10,NA,1,NA,2
"276",1,1,11,NA,1,NA,NA
"277",1,2,11,-0.850942990459965,0.456666666666667,-1.99999640168177,6
"278",1,3,11,-0.84269274088018,0.66011602980353,-0.52734130859375,41
"279",1,4,11,-13.6843260226129,0.63482687317029,-0.0369223390039063,3290
"280",1,5,11,NA,NA,NA,NA
"281",2,1,11,-0.535766458884849,0.580555555555555,-1.21484375,7
"282",2,2,11,-0.944680472041316,0.573026247536051,-1.19427659675073,19
