,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant,ML.l,ML.mu,MCMC.l.mean,MCMC.l.median,MCMC.l.sd,MCMC.l.q25,MCMC.l.q75,MCMC.l.ess,MCMC.mu.mean,MCMC.mu.median,MCMC.mu.sd,MCMC.mu.q25,MCMC.mu.q75,MCMC.mu.ess,MCMC.div.mean,MCMC.div.median,MCMC.div.sd,MCMC.div.q25,MCMC.div.q75,MCMC.turnov.mean,MCMC.turnov.median,MCMC.turnov.sd,MCMC.turnov.q25,MCMC.turnov.q75
24,25,5,5,0,0.5,1.0,0.4,0.2,2.0,8,60,12,0.144441102147188,0.0869893369724625,0.255298629830971,0.222594043971438,0.141564947324241,0.161889523637288,0.30770970236688,692.565694283851,0.272435752381562,0.229554025931724,0.210493632089131,0.121396496578418,0.372895598483908,732.437536489851,-0.0171371225505906,-0.0034021403749749,0.1205011140308,-0.0900802723180253,0.0679967410112391,1.0294323297386,1.0124737795738,0.538823384661913,0.65739462497523,1.35028225293558
25,1,1,1,1,0.05,1.0,0.4,0.2,0.2,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,
26,2,1,2,1,0.158113883008419,1.0,0.4,0.2,0.2,7,33,8,0.0822749361291183,0.0,0.168684722735578,0.145842937919935,0.0929781881148389,0.106106974416866,0.207861852993197,849.202523513,0.158239345305771,0.123527681762712,0.135569302490212,0.0561178774199298,0.223982423289465,797.905210968808,0.0104453774298078,0.0205629292022436,0.084179392320856,-0.0388137614213935,0.0682363153825627,0.903485101950467,0.8574256106584,0.578908894090318,0.472246622944184,1.22993600376178
27,3,1,3,1,0.5,1.0,0.4,0.2,0.2,21,54,32,0.371278425663749,0.268447641797965,0.423982620790983,0.394836628696286,0.152977462124609,0.31739981725201,0.499671736024635,549.996303445019,0.326208286500371,0.297104940072472,0.213906249535711,0.166681540307514,0.446207415858467,548.520288939553,0.0977743342906115,0.103912966413363,0.11088814858442,0.0235951121936401,0.174476460646842,0.715601352510206,0.74789470133502,0.314620292258927,0.500334619271509,0.945291524983775
28,4,1,4,1,0.792446596230557,1.0,0.4,0.2,0.2,1349,2945,2049,0.390617220412624,0.0,0.393035542928248,0.392981826683941,0.0106572587634011,0.385871210939245,0.399800929585888,3516.89395687608,0.0043639075504503,0.0029473309106726,0.0044761522399237,0.0012300269991975,0.0060675430799806,1482.20192663496,0.388671635377798,0.388561085098684,0.0106796627989337,0.381512792711819,0.395548590409125,0.0110486438114638,0.007505136899526,0.0112019436603781,0.003158964038116,0.0154260833026408
29,5,1,5,1,1.25594321575479,1.0,0.4,0.2,0.2,46517,105973,81585,0.5062114779175,0.0,0.506266495797145,0.506249398032776,0.0023666866603493,0.504654031151531,0.507888774535498,5308.17117178338,0.0001190663469915,8.45555687348009e-05,0.0001178459509872,3.38259984784392e-05,0.0001651373164982,1578.57333168445,0.506147429450154,0.506144107391952,0.0023647141489586,0.504514151435016,0.50774430972319,0.0002351451603465,0.0001669924866804,0.0002326657404352,6.65619295505779e-05,0.0003262277628061
30,6,2,1,1,0.5,0.1,0.4,0.2,0.2,70,441,265,0.161501592423691,0.0,0.172541798168785,0.17076021651933,0.0225420862822834,0.156851821690936,0.185975815187739,2713.33585445893,0.016312795063168,0.0113773346482074,0.0161824448559848,0.0048722064743598,0.0222856003925489,1541.32009909276,0.156229003105617,0.155534862001276,0.0218805800207375,0.141590707962998,0.170447632877018,0.0915994572953151,0.0684488084610144,0.0837204134360411,0.0292914280194734,0.128851961160456
31,7,2,2,1,0.5,0.316227766016838,0.4,0.2,0.2,50,149,91,0.223975158916907,0.0,0.261717692921994,0.25858196249089,0.0462491597185987,0.22993528847089,0.289062846118805,1568.86204632285,0.0675033000911947,0.0526498534159698,0.0580916028178557,0.0236913727853821,0.0962754364715954,1343.80107186967,0.194214392830799,0.195252578783917,0.0450343267294883,0.166532062691803,0.224419258707168,0.242553649394684,0.205106870326413,0.178854494672148,0.0993201726866436,0.353757089756178
32,8,2,3,1,0.5,1.0,0.4,0.2,0.2,92,220,120,0.256671797540564,0.0,0.276134244414848,0.273717909346692,0.0341593006017706,0.252567296919427,0.296685011161604,2045.81646866561,0.0345685268834131,0.0252474548020858,0.0327970152400698,0.0106937663160978,0.0484057530817959,1281.27385380977,0.241565717531435,0.241190082222967,0.0318947929323398,0.22082970043613,0.262315307065436,0.119690332088568,0.092628767434326,0.102134592066912,0.0411363002294922,0.172388819182799
33,9,2,4,1,0.5,3.16227766016838,0.4,0.2,0.2,387,767,453,0.326723855375555,0.0,0.3510626533119,0.347904156282285,0.0261765870740194,0.332506118180708,0.366586147132088,1081.59172049749,0.045943403259329,0.0366811892151329,0.036278037261674,0.0175809057872282,0.0672273625269469,971.764999647627,0.305119250052571,0.306148111989667,0.024082818816356,0.289995899451582,0.321881599090607,0.126085841100061,0.106348001150746,0.0919560432241036,0.0521046286402131,0.186311710659593
34,10,2,5,1,0.5,10.0,0.4,0.2,0.2,343,525,361,0.463784788015154,0.0399439636921194,0.48868852508527,0.484575720377158,0.0407309599364855,0.459537869856578,0.514157256369007,953.399967561362,0.0840163395292017,0.0739011012240105,0.0587911890220705,0.0367634015098663,0.120911912535023,940.689507712367,0.404672185556068,0.406752694100256,0.0364395705507261,0.380817796939332,0.43020850883506,0.165498394225369,0.153438619996396,0.105124034109858,0.0798571130732277,0.237160356148695
35,11,3,1,1,0.5,1.0,0.04,0.2,0.2,12,35,16,0.147783451060628,0.0238011340930663,0.239128871175233,0.21826731513604,0.100937226437492,0.166721010725572,0.288041110002308,829.391167767835,0.181366243659835,0.151817937849144,0.141037230230008,0.068439675830236,0.255945290671111,763.679577720168,0.0577626275153976,0.0649419576080046,0.0844047282007557,0.0057778951448563,0.115153065279055,0.701679816079814,0.697231559521079,0.394572717159374,0.394651502950907,0.977163757489619
36,12,3,2,1,0.5,1.0,0.126491106406735,0.2,0.2,25,69,39,0.200445966091673,0.0,0.258052082810539,0.247549222279455,0.0681417901835134,0.21190212610616,0.294743311497379,1022.86901566763,0.101313480060905,0.0762765545548254,0.0890933685695725,0.0348193654352723,0.144885127484901,936.675867190528,0.156738602749634,0.160366440891677,0.0632326305812593,0.117632162756039,0.199109303552076,0.362620275952096,0.317518190008403,0.254007855067417,0.15694243918926,0.528594855090205
37,13,3,3,1,0.5,1.0,0.4,0.2,0.2,55,132,71,0.235660771757485,0.0,0.282921106442766,0.277170293408403,0.0515212947027098,0.246584448559722,0.312778624265546,1174.99704362808,0.0840259485142557,0.0682681902910291,0.067279651440666,0.0316587642221194,0.121867356532053,1047.29233821146,0.19889515792851,0.200517532963025,0.0467778315757692,0.168656346482321,0.231107964390519,0.27774514640299,0.253281665522144,0.188187357799468,0.122452695853947,0.407792304845229
38,14,3,4,1,0.5,1.0,0.633957276984445,0.2,0.2,259,623,391,0.306690763844643,0.0,0.31650708806361,0.315607564071796,0.021176786945637,0.302649334481484,0.330052866089497,2829.84232415252,0.0172032141330563,0.0127215247474719,0.0159396843392457,0.0052682306637862,0.0249281970182675,1424.07988692321,0.299303873930553,0.29959193233133,0.0207791927915211,0.286044340147684,0.313122760125543,0.0532973677250174,0.040085170211803,0.0474043540620874,0.0168705237208023,0.0770811550526761
39,15,3,5,1,0.5,1.0,1.00475457260383,0.2,0.2,2269,5288,3783,0.436556616287537,0.0,0.438131773021538,0.437976144305582,0.0094522715441128,0.431755424595019,0.444707408097673,4243.32076416455,0.0029825422342688,0.0020641823085923,0.0029701252678985,0.0008671793820501,0.0040491729927763,1511.61930830545,0.435149230787269,0.43490153364193,0.0093559039135554,0.428787347044783,0.441639345961173,0.0067830285123809,0.0047077526555071,0.0067101979805085,0.0019903023816623,0.0092563761073558
40,16,4,1,1,0.5,1.0,0.4,0.02,0.2,792,1381,1158,0.314383266310844,0.0,0.3174429099583,0.317288866574089,0.0120578531854814,0.30938522345038,0.325413259150339,3653.36618656639,0.0052179413373181,0.0036831904628437,0.0051821764314483,0.0015088378993641,0.0073614250143804,1541.31508330621,0.312224968620981,0.312265487883338,0.0121578718204448,0.303953723820341,0.320327419225723,0.0163413410698972,0.0116617242776476,0.0160064805333516,0.004767461964674,0.0232017717926484
41,17,4,2,1,0.5,1.0,0.4,0.0632455532033676,0.2,376,677,507,0.303323817762932,0.0,0.309049642418466,0.30867336939484,0.0172036697704387,0.297074659972766,0.320312159819588,2891.54675768608,0.0100085509221722,0.0072091765730104,0.009628904163549,0.0029689558407298,0.013958549287912,1519.75037356543,0.299041091496294,0.298923650239907,0.0170600291672478,0.287740271305497,0.310402981538675,0.0319847212380748,0.0232575926698229,0.0299835519713163,0.0095739227888188,0.045265206720604
42,18,4,3,1,0.5,1.0,0.4,0.2,0.2,136,298,187,0.288205442382763,0.0,0.305081334270266,0.303208051955199,0.029311855657739,0.285119444359306,0.323515744457015,2191.62414939681,0.0316926562221197,0.0238059399240572,0.0288209403056863,0.0100587443626373,0.0449281654155794,1602.89056097096,0.273388678048146,0.273925868449399,0.0290684989604787,0.254587800803044,0.292500726336307,0.100562621088165,0.0794756062403367,0.0849302018225655,0.033946829602035,0.145894169482905
43,19,4,4,1,0.5,1.0,0.4,0.632455532033676,0.2,10,106,15,0.110588354754597,0.0002093057770666,0.222606022906157,0.197338899360147,0.118251983531793,0.142030709066255,0.271935296223294,517.000036836393,0.191455540262477,0.153935640729745,0.159112105006009,0.0753148528622188,0.268737199085937,486.62605315513,0.0311504826436798,0.038965704577951,0.0826046103557063,-0.0191825879345728,0.0883288981512123,0.794628965480757,0.795962488592559,0.425020687669024,0.478918005909822,1.08298735023356
44,20,4,5,1,0.5,1.0,0.4,2.0,0.2,2,56,2,,,,,,,,,,,,,,,,,,,,,,,,
