,Unnamed: 0,param_vary,i_param_var,replicate,PBD.l1,PBD.l2,PBD.l3,PBD.mu1,PBD.mu2,SR,PBD.LR.all,PBD.LR.extant
181,2,1,2,12,0.397164117362141,1.0,0.397164117362141,0.2,0.2,24,56,27
182,3,1,3,12,0.5,1.0,0.5,0.2,0.2,80,183,119
183,4,1,4,12,0.629462705897084,1.0,0.629462705897084,0.2,0.2,252,600,394
184,5,1,5,12,0.792446596230557,1.0,0.792446596230557,0.2,0.2,2184,4987,3701
185,6,2,1,12,0.5,0.1,0.5,0.2,0.2,60,434,276
186,7,2,2,12,0.5,0.316227766016838,0.5,0.2,0.2,123,427,270
187,8,2,3,12,0.5,1.0,0.5,0.2,0.2,26,54,36
188,9,2,4,12,0.5,3.16227766016838,0.5,0.2,0.2,305,590,353
189,10,2,5,12,0.5,10.0,0.5,0.2,0.2,103,155,106
190,11,3,1,12,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,544,821,806
191,12,3,2,12,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,90,161,149
192,13,3,3,12,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,150,272,224
193,14,3,4,12,0.5,1.0,0.5,0.2,0.2,121,301,180
194,15,3,5,12,0.5,1.0,0.5,0.502377286301916,0.502377286301916,21,94,32
195,1,1,1,13,0.315478672240097,1.0,0.315478672240097,0.2,0.2,20,42,24
196,2,1,2,13,0.397164117362141,1.0,0.397164117362141,0.2,0.2,42,94,54
197,3,1,3,13,0.5,1.0,0.5,0.2,0.2,137,311,192
198,4,1,4,13,0.629462705897084,1.0,0.629462705897084,0.2,0.2,980,2251,1520
199,5,1,5,13,0.792446596230557,1.0,0.792446596230557,0.2,0.2,5463,12503,9287
200,6,2,1,13,0.5,0.1,0.5,0.2,0.2,22,219,143
201,7,2,2,13,0.5,0.316227766016838,0.5,0.2,0.2,95,328,179
202,8,2,3,13,0.5,1.0,0.5,0.2,0.2,14,28,19
203,9,2,4,13,0.5,3.16227766016838,0.5,0.2,0.2,11,24,11
204,10,2,5,13,0.5,10.0,0.5,0.2,0.2,212,363,225
205,11,3,1,13,0.5,1.0,0.5,0.0126191468896039,0.0126191468896039,945,1502,1454
206,12,3,2,13,0.5,1.0,0.5,0.0316978638492223,0.0316978638492223,1620,2586,2423
207,13,3,3,13,0.5,1.0,0.5,0.0796214341106995,0.0796214341106995,664,1108,929
208,14,3,4,13,0.5,1.0,0.5,0.2,0.2,125,259,181
209,15,3,5,13,0.5,1.0,0.5,0.502377286301916,0.502377286301916,5,37,5
210,1,1,1,14,0.315478672240097,1.0,0.315478672240097,0.2,0.2,21,53,25
211,2,1,2,14,0.397164117362141,1.0,0.397164117362141,0.2,0.2,5,20,8
