"","param_vary","i_param_var","replicate","gamma","stairs2","SR"
"132",2,2,5,0.234240845991197,0.669945775264924,48
"133",2,3,5,1.56475575066125,0.545060999606454,12
"134",2,4,5,1.91518434437433,0.611049203929582,50
"135",2,5,5,0.34432574797332,0.669392049723876,156
"136",3,1,5,0.736420104879133,0.671395202020202,41
"137",3,2,5,0.657153024497586,0.662834115125733,67
"138",3,3,5,-0.152210726939809,0.660644257703081,18
"139",3,4,5,1.87616109175812,0.658104383276757,174
"140",3,5,5,1.85308886892662,0.666979706867453,278
"141",4,1,5,-0.652312539824217,0.683110469181645,120
"142",4,2,5,1.60016028147136,0.69669812431214,59
"143",4,3,5,-0.510895513405939,0.599807412522235,50
"144",4,4,5,1.16149288633399,0.611111111111111,4
"145",4,5,5,NA,NA,NA
"146",5,1,5,3.57422744613799,0.580736448818197,30
"147",5,2,5,2.30556161378873,0.67508600679097,186
"148",5,3,5,1.68439549214095,0.64363519376175,187
"149",5,4,5,0.26517949119832,0.580555555555555,7
"150",5,5,5,-0.652584480657493,0.666666666666667,9
"151",1,1,6,NA,1,2
"152",1,2,6,1.20012076258357,1,4
"153",1,3,6,1.75712714321255,0.70216049382716,19
"154",1,4,6,4.0174486900339,0.647951178247827,1348
"155",1,5,6,NA,NA,NA
"156",2,1,6,0.479526104552342,0.617787114845938,18
"157",2,2,6,0.711482623828911,0.75,3
"158",2,3,6,1.94454641460383,0.632638048563061,315
"159",2,4,6,1.36947345376647,0.731481481481481,10
"160",2,5,6,-1.28447699109586,0.706967013861648,77
"161",3,1,6,1.32498671726417,0.672789115646259,8
"162",3,2,6,1.06689104204918,0.630140988044214,32
"163",3,3,6,1.49877761798328,0.75,3
"164",3,4,6,0.533587121280955,0.687552308802309,41
"165",3,5,6,0.286738135483187,0.622926420041805,79
"166",4,1,6,0.582464840854814,0.611024385918739,211
"167",4,2,6,-1.44422935536941,0.653045002411137,127
"168",4,3,6,1.61551443907631,0.631187023705543,123
"169",4,4,6,0.189768075587306,0.520833333333333,5
"170",4,5,6,NA,NA,NA
"171",5,1,6,3.18158403980088,0.638786869104853,437
"172",5,2,6,0.308855113176848,0.689732142857143,9
"173",5,3,6,0.743392918455633,0.588954819630349,89
"174",5,4,6,1.36299720567468,0.593333333333333,11
"175",5,5,6,NA,1,2
"176",1,1,7,NA,NA,NA
"177",1,2,7,NA,1,2
"178",1,3,7,-1.32561496111366,0.588809523809524,11
"179",1,4,7,2.90528444547833,0.63938945919277,1234
"180",1,5,7,NA,NA,NA
"181",2,1,7,-0.257744768872443,0.592121639325587,25
"182",2,2,7,0.354326982262767,0.520833333333333,5
"183",2,3,7,1.64901293804256,0.673598040631297,122
"184",2,4,7,3.17810070129757,0.637215636919814,190
"185",2,5,7,0.774746168182058,0.69579574383496,52
"186",3,1,7,2.0247496953187,0.633410419887377,217
"187",3,2,7,1.04787374704937,0.663250272316345,108
"188",3,3,7,2.00795716371605,0.802083333333333,13
"189",3,4,7,0.990341347379996,0.657170070825533,78
"190",3,5,7,1.03496126359207,0.70829346092504,20
"191",4,1,7,-0.232712280445663,0.635129488983924,276
"192",4,2,7,1.32456506274257,0.602304138709747,44
"193",4,3,7,1.77911219385747,0.652792691379648,47
"194",4,4,7,-0.163664576142982,0.611111111111111,4
"195",4,5,7,NA,NA,NA
"196",5,1,7,-0.690420886372735,0.626087484799215,55
"197",5,2,7,2.30671185825938,0.645434445906513,264
"198",5,3,7,2.95129764460861,0.661994658568308,129
"199",5,4,7,-1.35497856798195,0.75,3
"200",5,5,7,NA,1,2
"201",1,1,8,NA,1,2
"202",1,2,8,-0.402024820317428,0.611111111111111,4
"203",1,3,8,2.2268243138231,0.580555555555555,7
"204",1,4,8,1.01436734182946,0.645460562307367,53
"205",1,5,8,NA,NA,NA
"206",2,1,8,0.974633343823235,0.761111111111111,7
"207",2,2,8,0.620768527892066,0.611111111111111,4
"208",2,3,8,2.47596751276544,0.647874827033075,180
"209",2,4,8,2.65187719053417,0.641349917238386,326
"210",2,5,8,0.537650977916173,0.615376730795502,58
"211",3,1,8,3.51780682102638,0.658879055171247,93
"212",3,2,8,0.930357111234602,0.588979860718991,24
"213",3,3,8,-0.512247215885737,0.667978395061728,19
"214",3,4,8,-0.122388603830767,0.67687301878878,53
"215",3,5,8,0.707700441865887,0.648537276751123,142
"216",4,1,8,1.84441020068333,0.643992955049188,1275
"217",4,2,8,0.082718569512165,0.701984654103963,92
"218",4,3,8,1.48732410698098,0.653061720568914,72
"219",4,4,8,-0.0521570836000808,0.8,6
"220",4,5,8,NA,NA,NA
"221",5,1,8,1.32922992316446,0.656308242020664,262
"222",5,2,8,0.842197532536008,0.608969163304668,212
"223",5,3,8,1.62555907382004,0.623641917836509,52
"224",5,4,8,0.72059404298134,0.758787878787879,21
"225",5,5,8,-0.242797700331194,1,4
"226",1,1,9,NA,1,2
"227",1,2,9,NA,1,2
"228",1,3,9,0.170329170211368,0.660971964543393,43
"229",1,4,9,2.72119572326587,0.653604959507243,656
"230",1,5,9,NA,NA,NA
"231",2,1,9,-0.615901404537503,0.691666666666667,11
"232",2,2,9,0.740938751220526,0.603125,9
"233",2,3,9,1.35706982814838,0.60590564738292,34
"234",2,4,9,1.09088125620334,0.674443640238466,133
"235",2,5,9,0.985501379843147,0.907407407407407,10
"236",3,1,9,-0.090644806444497,0.518027210884354,8
"237",3,2,9,0.60439876840646,0.597080081460387,40
"238",3,3,9,1.72375113039192,0.61218487394958,35
"239",3,4,9,NA,1,2
"240",3,5,9,1.55091841663208,0.725,9
"241",4,1,9,1.28941096150236,0.658800903543778,490
"242",4,2,9,0.360507966126576,0.679012638369581,173
"243",4,3,9,-0.887261895520266,0.781481481481482,10
"244",4,4,9,NA,NA,NA
"245",4,5,9,NA,NA,NA
"246",5,1,9,1.38291372178722,0.628104724307452,325
"247",5,2,9,-0.12733099809834,0.552065229743801,43
"248",5,3,9,2.07795454605988,0.684276135605857,154
"249",5,4,9,0.848707034444715,0.666666666666667,6
"250",5,5,9,0.0705545985999965,0.75,3
"251",1,1,10,NA,NA,NA
"252",1,2,10,NA,1,2
"253",1,3,10,0.839309401491077,0.649190103521539,117
"254",1,4,10,5.31814388342118,0.637521146231205,1086
"255",1,5,10,NA,NA,NA
"256",2,1,10,0.0505046448342544,0.520833333333333,5
"257",2,2,10,-0.295030750349847,0.706871814556544,36
"258",2,3,10,1.28677831366819,0.643220371684796,87
"259",2,4,10,-1.68472145643896,0.611111111111111,4
"260",2,5,10,2.56552383549986,0.649722880763606,152
"261",3,1,10,-0.638881554205399,0.667038922608806,103
"262",3,2,10,0.313746447879408,0.604761904761905,12
"263",3,3,10,0.773239457620488,0.67517973945958,57
"264",3,4,10,0.62819387886871,0.589823546973648,30
"265",3,5,10,1.91556782406976,0.822222222222222,14
"266",4,1,10,1.18472242505235,0.658976790726176,500
"267",4,2,10,1.00684683047688,0.616331168263849,510
"268",4,3,10,0.606661332877533,0.700129719703464,95
"269",4,4,10,1.61278141219649,0.75,3
"270",4,5,10,NA,NA,NA
"271",5,1,10,1.62871771327245,0.582917799046831,32
"272",5,2,10,0.780965911082725,0.668247685821335,110
"273",5,3,10,0.180481856193436,0.75,3
"274",5,4,10,0.448055923760163,0.602380952380952,9
"275",5,5,10,-0.211935181238622,0.680555555555556,7
"276",1,1,11,NA,1,2
"277",1,2,11,1.10564570833718,0.75,3
"278",1,3,11,2.51895306499855,0.63691106014736,212
"279",1,4,11,-0.26047813646189,0.602150023889154,28
"280",1,5,11,NA,NA,NA
"281",2,1,11,0.719638125833008,0.593392255892256,13
"282",2,2,11,1.16334172123351,0.6725,21
"283",2,3,11,1.57628864884638,0.65299912963763,174
"284",2,4,11,0.0692684237761854,0.632117041131729,86
"285",2,5,11,3.17226421671658,0.624885094451853,290
"286",3,1,11,2.34797457573798,0.523146645021645,17
"287",3,2,11,2.67610621387165,0.699618370177581,77
"288",3,3,11,0.511795291019911,0.683074425574426,21
"289",3,4,11,-0.253397758759152,0.791666666666667,5
"290",3,5,11,0.208678940212857,0.696402796454396,34
"291",4,1,11,0.750410217404613,0.661359369971187,232
"292",4,2,11,1.78200526296929,0.623171605407064,396
