"","param_vary","i_param_var","replicate","gamma","B2","SR"
"160",2,5,6,0.78742107609818,5.294921875,62
"161",3,1,6,-0.628238848211455,4.248046875,50
"162",3,2,6,-1.62527011282557,5.09375,46
"163",3,3,6,-2.28326226213352,5.863525390625,102
"164",3,4,6,0.360072074274305,3.3671875,17
"165",3,5,6,-1.34326829336245,4.078125,23
"166",4,1,6,-4.0890448652431,5.75616455078125,157
"167",4,2,6,-5.08931471688398,6.26898956298828,283
"168",4,3,6,-1.56126462965236,4.15625,24
"169",4,4,6,NA,NA,NA
"170",4,5,6,NA,NA,NA
"171",5,1,6,-1.56559023416237,3.77294921875,47
"172",5,2,6,-1.63469547252213,4.236328125,42
"173",5,3,6,-2.17501164559821,3.624755859375,62
"174",5,4,6,-0.0102567526486906,2.1875,7
"175",5,5,6,-1.38665607125146,1.75,4
"176",1,1,7,NA,1,2
"177",1,2,7,NA,1,2
"178",1,3,7,-1.24309593102744,3.7421875,22
"179",1,4,7,-11.1305360050599,7.23011064529419,749
"180",1,5,7,NA,NA,NA
"181",2,1,7,-2.09964512569644,2.375,10
"182",2,2,7,-3.0668456774405,4.4345703125,59
"183",2,3,7,-1.93060462214447,4.06640625,33
"184",2,4,7,-2.44929613536201,5.85872650146484,206
"185",2,5,7,-0.162163831690478,5.68167114257812,264
"186",3,1,7,-3.05329840866044,5.38052368164062,167
"187",3,2,7,-0.675086741919441,4.125,30
"188",3,3,7,-1.8029416411098,4.7021484375,43
"189",3,4,7,-1.35666864045357,3.078125,14
"190",3,5,7,-1.21959396437003,4.8125,38
"191",4,1,7,-5.67460784094049,5.56484985351562,275
"192",4,2,7,-7.53992259845116,6.04775619506836,350
"193",4,3,7,-0.571969813331211,3.921875,23
"194",4,4,7,NA,NA,NA
"195",4,5,7,NA,NA,NA
"196",5,1,7,-1.40077294599653,4.630859375,53
"197",5,2,7,-2.26977889331978,4.3800048828125,73
"198",5,3,7,-1.96001176329941,4.38671875,37
"199",5,4,7,-0.265461022458905,2.125,6
"200",5,5,7,-0.764587216550241,2.25,5
"201",1,1,8,NA,1,2
"202",1,2,8,NA,1,2
"203",1,3,8,0.0137701652353478,2.6015625,15
"204",1,4,8,-10.4874056102604,7.40117835998535,648
